Transform,Detail,Approximate,Metric,Value
1,4,,3,0.75547
1,4,,4,0.0059057
1,4,,5,0.85901
1,4,,6,0.0022056
1,4,,7,0.8617
1,4,,8,0.005967
1,5,,1,0.50684
1,5,,2,0.42171
1,5,,3,0.51073
1,5,,4,0.0049387
1,5,,5,0.82668
1,5,,6,0.004283
1,5,,7,0.38339
1,5,,8,0.0059647
1,6,,1,0.56155
1,6,,2,0.46171
1,6,,3,0.66951
1,6,,4,0.0054041
1,6,,5,0.83303
1,6,,6,0.0027696
1,6,,7,0.58973
1,6,,8,0.0059674
1,7,,1,0.51947
1,7,,2,0.42867
1,7,,3,0.59729
1,7,,4,0.0052162
1,7,,5,0.82889
1,7,,6,0.0034278
1,7,,7,0.46432
1,7,,8,0.0059676
1,1,,1,0.51174
1,1,,2,0.55914
1,1,,3,0.38842
1,1,,4,0.0047998
1,1,,5,0.82224
1,1,,6,0.0023948
1,1,,7,0.43081
1,1,,8,0.11028
1,2,,1,0.53571
1,2,,2,0.56795
1,2,,3,0.34157
1,2,,4,0.0044891
1,2,,5,0.8232
1,2,,6,0.0039711
1,2,,7,0.33908
1,2,,8,0.11053
1,3,,1,0.52967
1,3,,2,0.56976
1,3,,3,0.44209
1,3,,4,0.0037847
1,3,,5,0.82272
1,3,,6,0.0021682
1,3,,7,0.25115
1,3,,8,0.11004
1,4,,1,0.71018
1,4,,2,0.53143
1,4,,3,0.70355
1,4,,4,0.0052262
1,4,,5,0.84278
1,4,,6,0.0030952
1,4,,7,0.86436
1,4,,8,0.11031
1,5,,1,0.4775
1,5,,2,0.58863
1,5,,3,0.29394
1,5,,4,0.0038293
1,5,,5,0.81887
1,5,,6,0.0038037
1,5,,7,0.19104
1,5,,8,0.11029
1,6,,1,0.53823
1,6,,2,0.56561
1,6,,3,0.37026
1,6,,4,0.0044569
1,6,,5,0.82449
1,6,,6,0.0027565
1,6,,7,0.42656
1,6,,8,0.11029
1,7,,1,0.48696
1,7,,2,0.57049
1,7,,3,0.35071
1,7,,4,0.0043741
1,7,,5,0.81967
1,7,,6,0.0029892
1,7,,7,0.31717
1,7,,8,0.1103
1,1,,1,0.22364
1,1,,2,0.37977
1,1,,3,0.37524
1,1,,4,0.0038697
